date,hour_range,id,demand,frequency,coal,nuclear,ccgt,wind,pumped,hydro,biomass,oil,solar,ocgt,french_ict,dutch_ict,irish_ict,ew_ict,nemo,other,north_south,scotland_england,ifa2,intelec_ict,nsl,vkl_ict
2024-09-05,06:00 - 07:00,1394143.5,26976.166666666668,50.037916833333334,0.0,4819.083333333333,4898.666666666667,7801.166666666667,330.0,618.1666666666666,2942.5,0.0,58.406489416666666,1.25,1034.3333333333333,-393.6666666666667,-377.1666666666667,-265.3333333333333,80.16666666666667,414.5,0.0,0.0,307.25,598.6666666666666,1397.0,1389.5
2024-09-05,07:00 - 08:00,1394155.5,29378.0,50.08008375,0.0,4821.0,3941.5833333333335,8401.416666666666,108.41666666666667,594.25,3176.3333333333335,0.0,395.4095876666667,1.3333333333333333,1820.9166666666667,934.5833333333334,-452.0,-489.5,936.1666666666666,264.6666666666667,0.0,0.0,788.0,770.3333333333334,1397.0,1422.0
2024-09-05,08:00 - 09:00,1394167.5,30484.25,49.98208291666666,0.0,4819.166666666667,3716.1666666666665,9316.666666666666,137.33333333333334,534.8333333333334,3182.8333333333335,0.0,711.6440023333333,1.75,1837.8333333333333,1008.3333333333334,-452.0,-529.0,904.6666666666666,256.1666666666667,0.0,0.0,974.5,975.0,1397.0,1422.0
2024-09-05,09:00 - 10:00,1394179.5,30072.416666666668,50.004250000000006,0.0,4816.75,3719.6666666666665,9574.166666666666,2.3333333333333335,484.9166666666667,3094.9166666666665,0.0,1094.2557728333334,0.6666666666666666,1989.5,1007.5833333333334,-452.0,-528.0,1008.6666666666666,232.66666666666666,0.0,0.0,991.0,725.75,1397.0,1026.8333333333333
2024-09-05,10:00 - 11:00,1394191.5,30310.416666666668,49.982166500000005,0.0,4814.416666666667,3458.3333333333335,9840.0,84.66666666666667,493.5,3200.8333333333335,0.0,1396.2125039166667,0.6666666666666666,1699.25,1041.3333333333333,-452.0,-528.0,1019.1666666666666,320.1666666666667,0.0,0.0,991.0833333333334,960.0,1397.0,990.0
2024-09-05,11:00 - 12:00,1394203.5,30281.583333333332,49.99650008333333,0.0,4816.583333333333,3118.8333333333335,9997.833333333334,246.66666666666666,462.6666666666667,3203.6666666666665,0.0,1651.3616638333333,0.9166666666666666,1655.75,1046.8333333333333,-452.0,-440.0,1019.0,337.4166666666667,0.0,0.0,991.4166666666666,997.0,1397.0,990.0
2024-09-05,12:00 - 13:00,1394215.5,29839.0,50.01824966666666,0.0,4816.5,2959.1666666666665,10378.666666666666,183.58333333333334,531.6666666666666,3214.9166666666665,0.0,1592.7399901666668,29.833333333333332,1655.0833333333333,1047.0833333333333,-452.0,-359.8333333333333,1019.0,565.5,0.0,0.0,65.08333333333333,997.0833333333334,1397.0,986.25
2024-09-05,13:00 - 14:00,1394227.5,29650.75,49.97399991666666,0.0,4819.166666666667,2744.3333333333335,10716.25,262.0,524.25,3205.9166666666665,0.0,1389.8558552499999,4.0,1747.25,1047.0,-452.0,-362.0,1000.6666666666666,199.91666666666666,0.0,0.0,-2.0,997.0,1397.0,986.0
2024-09-05,14:00 - 15:00,1394239.5,29779.833333333332,50.05400016666667,0.0,4826.916666666667,2736.25,11086.583333333334,171.5,509.1666666666667,3088.25,0.0,1194.17082725,0.8333333333333334,1756.0833333333333,1045.75,-452.0,-397.0,999.0,179.33333333333334,0.0,0.0,-2.0,997.1666666666666,1397.0,986.0
2024-09-05,15:00 - 16:00,1394251.5,30259.75,49.97658316666667,0.0,4821.583333333333,3586.6666666666665,10797.25,0.0,552.3333333333334,3105.9166666666665,0.0,1020.1179045833334,1.4166666666666667,1847.6666666666667,1041.0833333333333,-452.0,-222.0,491.25,234.5,0.0,0.0,-2.0,997.25,1397.0,1385.8333333333333
2024-09-05,16:00 - 17:00,1394263.5,30952.25,50.050583499999995,0.0,4816.333333333333,5316.75,10437.75,300.5833333333333,698.5833333333334,3093.5833333333335,0.0,737.892746,0.5833333333333334,1620.8333333333333,786.0,-411.1666666666667,-115.33333333333333,41.416666666666664,364.25,0.0,0.0,-2.0,655.5833333333334,1397.0,1423.0
2024-09-05,17:00 - 18:00,1394275.5,30491.5,49.9846665,0.0,4813.333333333333,6257.0,9937.0,404.5,631.0,3135.6666666666665,0.0,427.799418,35.416666666666664,685.4166666666666,476.25,-300.0,-11.083333333333334,0.0,708.3333333333334,0.0,0.0,-2.0,574.6666666666666,1397.0,1423.0
2024-09-05,18:00 - 19:00,1394287.5,29627.916666666668,50.0035835,0.0,4807.166666666667,6697.333333333333,8991.416666666666,420.3333333333333,575.9166666666666,3135.0,0.0,116.75353308333332,63.166666666666664,847.1666666666666,151.75,19.75,3.3333333333333335,76.41666666666667,679.75,0.0,0.0,-2.0,278.8333333333333,1397.0,1423.0
2024-09-05,19:00 - 20:00,1394299.5,29246.0,49.94941683333334,0.0,4805.416666666667,6088.666666666667,8781.166666666666,152.16666666666666,486.25,3154.0833333333335,0.0,3.2993699166666666,23.25,1762.25,-179.0,117.83333333333333,0.0,157.66666666666666,368.6666666666667,0.0,0.0,-2.0,516.0833333333334,1397.0,1423.0
